case,bit,one_count,one_fraction,entropy,run_count,support_size,support_bits,anf_degree,anf_terms,constant
ex297,7,7851,0.479187,0.998750,6637,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,14,7394,0
ex297,8,8314,0.507446,0.999840,7283,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,13,7354,0
ex297,9,7851,0.479187,0.998750,6963,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,14,7394,0
ex297,10,8314,0.507446,0.999840,7917,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,13,7354,0
ex297,11,7851,0.479187,0.998750,7461,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,14,7394,0
ex297,12,8314,0.507446,0.999840,8489,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,13,7354,0
ex297,13,7851,0.479187,0.998750,8229,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,14,7394,0
ex298,0,16281,0.496857,0.999971,18537,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,15,12470,0
ex298,1,14950,0.456238,0.994467,19565,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,14,12536,0
ex298,2,16081,0.490753,0.999753,10259,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,15,10688,0
ex298,3,14889,0.454376,0.993986,10001,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,15,10652,0
ex298,4,15636,0.477173,0.998496,8787,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,14,9800,0
ex298,5,15027,0.458588,0.995046,8181,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,15,9904,0
ex298,6,15206,0.464050,0.996268,8417,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,14,9830,0
ex298,7,15272,0.466064,0.996675,8635,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,14,10020,0
ex298,8,14825,0.452423,0.993459,10379,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,15,9966,0
ex298,9,16363,0.499359,0.999999,9115,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,15,10102,0
ex298,10,13329,0.406769,0.974773,10597,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,15,9954,0
ex298,11,17472,0.533203,0.996817,8979,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,14,9720,0
ex298,12,16416,0.500977,0.999997,11299,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,14,10856,0
ex298,13,16352,0.499023,0.999997,11257,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,14,10856,0
ex298,14,0,0.000000,0.000000,1,0,,0,0,1
ex299,0,34006,0.518890,0.998970,36373,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,15,29834,0
ex299,1,30358,0.463226,0.996095,37699,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,15,30086,0
ex299,2,34006,0.518890,0.998970,25903,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,15,29834,0
ex299,3,30358,0.463226,0.996095,25043,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,15,30086,0
ex299,4,34006,0.518890,0.998970,25747,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,15,29834,0
ex299,5,30358,0.463226,0.996095,23891,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,15,30086,0
ex299,6,34006,0.518890,0.998970,27269,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,15,29834,0
ex299,7,30358,0.463226,0.996095,25499,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,15,30086,0
ex299,8,34006,0.518890,0.998970,29111,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,15,29834,0
ex299,9,30358,0.463226,0.996095,26813,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,15,30086,0
ex299,10,34006,0.518890,0.998970,29783,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,15,29834,0
ex299,11,30358,0.463226,0.996095,28633,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,15,30086,0
ex299,12,34006,0.518890,0.998970,31107,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,15,29834,0
ex299,13,30358,0.463226,0.996095,29897,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,15,30086,0
ex299,14,34006,0.518890,0.998970,34271,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,15,29834,0
ex299,15,30358,0.463226,0.996095,33517,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,15,30086,0
