case,candidate_id,hypothesis,representation,sharing_strategy,synth_flow,method_signature,verilog_path,aig_path,log_path,equivalent,area,delay,adp,beats_frontend,beats_reference,notes,agent_id,variant,official_output_dir,evaluate_log,verified_truth,reference_adp,beats_overall_current,shard_csv,domain,shared_structure,simulation_pass,method_signature_original
ex247,ex247_r68_delta_sigpair_mag_table_synth_preset_aig,E5M2FN low-over-high division exact delta/sigpair table,delta-key outer sigpair direct magnitude table,,,ex247|E5M2FN low-over-high division exact delta/sigpair table|delta-key outer sigpair direct magnitude table|shared sign exponent delta and sigpair decode with direct magnitude rows|delta_sigpair_mag_table|yosys_synth_preset_aig|official_evaluate|delta_major_sigpair_output,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex247/verilog/ex247_r68_delta_sigpair_mag_table.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex247/aigs/ex247_r68_delta_sigpair_mag_table_synth_preset_aig.aig,,1,649,22,14278,,,official evaluate.py OK; synthesized from source RTL only,sub-fp8-worst-r68,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex247/logs/ex247_r68_delta_sigpair_mag_table.evaluate.py.log,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-worst-r68/candidates.csv,float_fp8,shared sign exponent delta and sigpair decode with direct magnitude rows,not_run,
ex247,ex247_r68_sigpair_delta_intervals_synth_preset_aig,E5M2FN low-over-high division exact sigpair delta intervals,sigpair-major delta interval ranges,,,ex247|E5M2FN low-over-high division exact sigpair delta intervals|sigpair-major delta interval ranges|shared sigpair decode plus per-pair exponent-delta magnitude intervals|sigpair_delta_intervals|yosys_synth_preset_aig|official_evaluate|sigpair_major_range_output,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex247/verilog/ex247_r68_sigpair_delta_intervals.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex247/aigs/ex247_r68_sigpair_delta_intervals_synth_preset_aig.aig,,1,645,28,18060,,,official evaluate.py OK; synthesized from source RTL only,sub-fp8-worst-r68,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex247/logs/ex247_r68_sigpair_delta_intervals.evaluate.py.log,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-worst-r68/candidates.csv,float_fp8,shared sigpair decode plus per-pair exponent-delta magnitude intervals,not_run,
ex249,ex249_r68_maxcode_threshold_ranges_synth_preset_aig,E5M2FN packed hypot exact max/min code ranges,max-code threshold range decoder,,,ex249|E5M2FN packed hypot exact max/min code ranges|max-code threshold range decoder|shared abs max/min decode plus per-max min-code delta ranges|maxcode_threshold_ranges|yosys_synth_preset_aig|official_evaluate|max_plus_delta_ranges,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex249/verilog/ex249_r68_maxcode_threshold_ranges.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex249/aigs/ex249_r68_maxcode_threshold_ranges_synth_preset_aig.aig,,1,1014,33,33462,,,official evaluate.py OK; synthesized from source RTL only,sub-fp8-worst-r68,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex249/logs/ex249_r68_maxcode_threshold_ranges.evaluate.py.log,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-worst-r68/candidates.csv,float_fp8,shared abs max/min decode plus per-max min-code delta ranges,not_run,
ex249,ex249_r68_gap_sig_interval_bank_synth_preset_aig,E5M2FN packed hypot exact gap/significand interval bank,gap/significand interval decoder,,,ex249|E5M2FN packed hypot exact gap/significand interval bank|gap/significand interval decoder|shared raw effective exponent/significand decode with min-sig intervals|gap_sig_interval_bank|yosys_synth_preset_aig|official_evaluate|max_plus_delta_intervals,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex249/verilog/ex249_r68_gap_sig_interval_bank.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex249/aigs/ex249_r68_gap_sig_interval_bank_synth_preset_aig.aig,,1,324,38,12312,,,official evaluate.py OK; synthesized from source RTL only,sub-fp8-worst-r68,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex249/logs/ex249_r68_gap_sig_interval_bank.evaluate.py.log,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-worst-r68/candidates.csv,float_fp8,shared raw effective exponent/significand decode with min-sig intervals,not_run,
ex285,ex285_r68_tree_paircanon_4567,pair canonicalization reduces symmetric input routing states before greedy tree,decision-tree wrapper,canonical OR/AND pair descriptors for input pairs 4/5 and 6/7,yosys_synth.py default abc -g AND,r68_paircanon_tree_4567,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex285/verilog/ex285_r68_tree_paircanon_4567.v,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex285/aigs/ex285_r68_tree_paircanon_4567.aig,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex285/logs/ex285_r68_tree_paircanon_4567.evaluate.py.log,yes,810,18,14580,no,no,Not a repeat of local-rule/treefact/symcof as-is; official evaluate.py determines equivalence.,sub-unk-stillhigh-r68,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-unk-stillhigh-r68/candidates.csv,,,,
ex285,ex285_r68_tree_symcof_low4,selected-output cofactor reuse can prune weaker low-output tree cones,tree/cofactor selected-output hybrid,low 4 output bits from cofactor source; high 8 bits from greedy tree source,yosys_synth.py default abc -g AND,r68_selected_output_tree_symcof_low4,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex285/verilog/ex285_r68_tree_symcof_low4.v,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex285/aigs/ex285_r68_tree_symcof_low4.aig,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex285/logs/ex285_r68_tree_symcof_low4.evaluate.py.log,yes,997,17,16949,no,no,Both sources are reused only through selected outputs; no standalone remap.,sub-unk-stillhigh-r68,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-unk-stillhigh-r68/candidates.csv,,,,
ex288,ex288_r68_rotsplit_paircanon_456789,pair canonicalization checks compact routing-state symmetry in rotate/high split source,rotate/high-split wrapper,"canonical OR/AND pair descriptors for input pairs 4/5, 6/7, and 8/9",yosys_synth.py default abc -g AND,r68_paircanon_rotsplit_456789,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex288/verilog/ex288_r68_rotsplit_paircanon_456789.v,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex288/aigs/ex288_r68_rotsplit_paircanon_456789.aig,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex288/logs/ex288_r68_rotsplit_paircanon_456789.evaluate.py.log,yes,4376,16,70016,no,no,Moves away from another key-BDD order replay; expected to fail if pair order matters.,sub-unk-stillhigh-r68,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-unk-stillhigh-r68/candidates.csv,,,,
ex288,ex288_r68_keybdd_lane_mod4,selected-output grouping can combine current key-BDD cofactor with lane grouped BDD cones,key-BDD/lane selected-output hybrid,"outputs 0,4,8,12 from lane grouping; all other bits from key-BDD source",yosys_synth.py default abc -g AND,r68_selected_output_keybdd_lane_mod4,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex288/verilog/ex288_r68_keybdd_lane_mod4.v,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex288/aigs/ex288_r68_keybdd_lane_mod4.aig,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex288/logs/ex288_r68_keybdd_lane_mod4.evaluate.py.log,yes,5568,25,139200,no,no,Avoids repeating symcof/keybdd as-is by using only selected lane cones.,sub-unk-stillhigh-r68,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-unk-stillhigh-r68/candidates.csv,,,,
ex297,ex297_r68_cell_phase_rot1,even rotation equivariance may expose a lower-cost source phase for cell cube defaults,cell-cube phase wrapper,"rotate input by one 2-bit cell, synthesize one exact cell source, rotate output back",yosys_synth.py default abc -g AND,r68_cell_cube_phase_rot1|variant:ex297_r68_cell_phase_rot1,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex297/verilog/ex297_r68_cell_phase_rot1.v,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex297/aigs/ex297_r68_cell_phase_rot1.aig,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex297/logs/ex297_r68_cell_phase_rot1.evaluate.py.log,yes,26588,19,505172,no,no,"A source-level phase wrapper, not r66/r67 cube default replay as-is.",sub-unk-stillhigh-r68,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-unk-stillhigh-r68/candidates.csv,,,,r68_cell_cube_phase_rot1
ex297,ex297_r68_cell_phase_selected_cells,selected-cell grouping can reuse different source phases for alternating output cells,cell-cube selected-cell phase hybrid,even output cells from phase-shifted source; odd output cells from base source,yosys_synth.py default abc -g AND,r68_cell_cube_selected_phase_even_cells|variant:ex297_r68_cell_phase_selected_cells,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex297/verilog/ex297_r68_cell_phase_selected_cells.v,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex297/aigs/ex297_r68_cell_phase_selected_cells.aig,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex297/logs/ex297_r68_cell_phase_selected_cells.evaluate.py.log,yes,26644,19,506236,no,no,Uses selected-output grouping over exact phase views; no AIG remap/post-processing.,sub-unk-stillhigh-r68,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-unk-stillhigh-r68/candidates.csv,,,,r68_cell_cube_selected_phase_even_cells
ex299,ex299_r68_cell_phase_rot1,even rotation equivariance may expose a lower-cost source phase for cell cube defaults,cell-cube phase wrapper,"rotate input by one 2-bit cell, synthesize one exact cell source, rotate output back",yosys_synth.py default abc -g AND,r68_cell_cube_phase_rot1|variant:ex299_r68_cell_phase_rot1,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex299/verilog/ex299_r68_cell_phase_rot1.v,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex299/aigs/ex299_r68_cell_phase_rot1.aig,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex299/logs/ex299_r68_cell_phase_rot1.evaluate.py.log,yes,98849,20,1976980,no,no,"A source-level phase wrapper, not r66/r67 cube default replay as-is.",sub-unk-stillhigh-r68,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-unk-stillhigh-r68/candidates.csv,,,,r68_cell_cube_phase_rot1
ex299,ex299_r68_cell_phase_selected_cells,selected-cell grouping can reuse different source phases for alternating output cells,cell-cube selected-cell phase hybrid,even output cells from phase-shifted source; odd output cells from base source,yosys_synth.py default abc -g AND,r68_cell_cube_selected_phase_even_cells|variant:ex299_r68_cell_phase_selected_cells,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex299/verilog/ex299_r68_cell_phase_selected_cells.v,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex299/aigs/ex299_r68_cell_phase_selected_cells.aig,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex299/logs/ex299_r68_cell_phase_selected_cells.evaluate.py.log,yes,99196,20,1983920,no,no,Uses selected-output grouping over exact phase views; no AIG remap/post-processing.,sub-unk-stillhigh-r68,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-unk-stillhigh-r68/candidates.csv,,,,r68_cell_cube_selected_phase_even_cells
