case,domain,agent_id,hypothesis,representation,shared_structure,method_signature,observed_sharing,area_delay_tradeoff,notes
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_shared_bdd,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_shared_bdd|shared_two_pair_canonical_key_single_bdd_node_pool|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|reverse_f10,,,"pairs=4:5,6:7; order=reverse; invalid_policy=f10; bdd_nodes=1944; hash=709e14b1fc3d"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_shared_bdd,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_shared_bdd|shared_two_pair_canonical_key_single_bdd_node_pool|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|sym_first_f00,,,"pairs=4:5,6:7; order=sym_first; invalid_policy=f00; bdd_nodes=1856; hash=db0a3a85f58e"
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_shared_bdd,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_shared_bdd|shared_two_pair_canonical_key_single_bdd_node_pool|yosys_default_AND_official_evaluate|exact_4_5_6_7_symmetry|sym_first_f10,,,"pairs=4:5,6:7; order=sym_first; invalid_policy=f10; bdd_nodes=1904; hash=4d6dce85ce7d"
ex285,unknown,unknown-routing-r25,,,decision_tree_source_flow_probe,ex285|hamming_weight_preserving_lossy_routing_normalizer|decision_tree_source_flow_probe|current_best_decision_tree_source|no_internal_abc_official_evaluate|exact_truth_preserving_source|full_word,,,skip Yosys internal abc pass
ex285,unknown,unknown-routing-r25,,,decision_tree_source_flow_probe,ex285|hamming_weight_preserving_lossy_routing_normalizer|decision_tree_source_flow_probe|current_best_decision_tree_source|abc_g_aig_official_evaluate|exact_truth_preserving_source|full_word,,,Yosys abc gate set aig
ex285,unknown,unknown-routing-r25,,,decision_tree_source_flow_probe,ex285|hamming_weight_preserving_lossy_routing_normalizer|decision_tree_source_flow_probe|current_best_decision_tree_source|extra_opt_share_official_evaluate|exact_truth_preserving_source|full_word,,,extra opt_reduce/opt_muxtree/wreduce/share before techmap
ex285,unknown,unknown-routing-r25,,,decision_tree_source_flow_probe,ex285|hamming_weight_preserving_lossy_routing_normalizer|decision_tree_source_flow_probe|current_best_decision_tree_source|synth_preset_official_evaluate|exact_truth_preserving_source|full_word,,,Yosys synth preset with flatten
ex285,unknown,unknown-routing-r25,,,decision_tree_source_flow_probe,ex285|hamming_weight_preserving_lossy_routing_normalizer|decision_tree_source_flow_probe|current_best_decision_tree_source|abc_g_aig_d14_official_evaluate|exact_truth_preserving_source|full_word,,,Yosys abc gate set aig delay target 14
ex285,unknown,unknown-routing-r25,,,decision_tree_source_flow_probe,ex285|hamming_weight_preserving_lossy_routing_normalizer|decision_tree_source_flow_probe|current_best_decision_tree_source|abc_g_aig_d15_official_evaluate|exact_truth_preserving_source|full_word,,,Yosys abc gate set aig delay target 15
ex285,unknown,unknown-routing-r25,,,decision_tree_source_flow_probe,ex285|hamming_weight_preserving_lossy_routing_normalizer|decision_tree_source_flow_probe|current_best_decision_tree_source|abc_g_aig_d16_official_evaluate|exact_truth_preserving_source|full_word,,,Yosys abc gate set aig delay target 16
ex285,unknown,unknown-routing-r25,,,decision_tree_source_flow_probe,ex285|hamming_weight_preserving_lossy_routing_normalizer|decision_tree_source_flow_probe|current_best_decision_tree_source|abc_g_aig_d17_official_evaluate|exact_truth_preserving_source|full_word,,,Yosys abc gate set aig delay target 17
ex285,unknown,unknown-routing-r25,,,decision_tree_source_flow_probe,ex285|hamming_weight_preserving_lossy_routing_normalizer|decision_tree_source_flow_probe|current_best_decision_tree_source|abc_g_gates_official_evaluate|exact_truth_preserving_source|full_word,,,Yosys abc gate set gates
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_synthflow_probe,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_synthflow_probe|interleave_f10_k4_onehot_group|no_internal_abc_official_evaluate|exact_truth_preserving_source|full_word,,,skip Yosys internal abc pass
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_synthflow_probe,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_synthflow_probe|interleave_f10_k4_onehot_group|abc_g_aig_official_evaluate|exact_truth_preserving_source|full_word,,,Yosys abc gate set aig
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_synthflow_probe,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_synthflow_probe|interleave_f10_k4_onehot_group|extra_opt_share_official_evaluate|exact_truth_preserving_source|full_word,,,extra opt_reduce/opt_muxtree/wreduce/share before techmap
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_synthflow_probe,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_synthflow_probe|interleave_f10_k4_onehot_group|synth_preset_official_evaluate|exact_truth_preserving_source|full_word,,,Yosys synth preset with flatten
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_synthflow_probe,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_synthflow_probe|interleave_f10_k4_onehot_group|abc_g_aig_d14_official_evaluate|exact_truth_preserving_source|full_word,,,Yosys abc gate set aig delay target 14
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_synthflow_probe,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_synthflow_probe|interleave_f10_k4_onehot_group|abc_g_aig_d15_official_evaluate|exact_truth_preserving_source|full_word,,,Yosys abc gate set aig delay target 15
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_synthflow_probe,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_synthflow_probe|interleave_f10_k4_onehot_group|abc_g_aig_d16_official_evaluate|exact_truth_preserving_source|full_word,,,Yosys abc gate set aig delay target 16
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_synthflow_probe,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_synthflow_probe|interleave_f10_k4_onehot_group|abc_g_aig_d17_official_evaluate|exact_truth_preserving_source|full_word,,,Yosys abc gate set aig delay target 17
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_synthflow_probe,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_synthflow_probe|interleave_f10_k4_onehot_group|abc_g_gates_official_evaluate|exact_truth_preserving_source|full_word,,,Yosys abc gate set gates
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_synthflow_probe,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_synthflow_probe|interleave_f00_k4_onehot_group|no_internal_abc_official_evaluate|exact_truth_preserving_source|full_word,,,skip Yosys internal abc pass
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_synthflow_probe,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_synthflow_probe|interleave_f00_k4_onehot_group|abc_g_aig_official_evaluate|exact_truth_preserving_source|full_word,,,Yosys abc gate set aig
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_synthflow_probe,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_synthflow_probe|interleave_f00_k4_onehot_group|extra_opt_share_official_evaluate|exact_truth_preserving_source|full_word,,,extra opt_reduce/opt_muxtree/wreduce/share before techmap
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_synthflow_probe,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_synthflow_probe|interleave_f00_k4_onehot_group|synth_preset_official_evaluate|exact_truth_preserving_source|full_word,,,Yosys synth preset with flatten
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_synthflow_probe,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_synthflow_probe|interleave_f00_k4_onehot_group|abc_g_aig_d14_official_evaluate|exact_truth_preserving_source|full_word,,,Yosys abc gate set aig delay target 14
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_synthflow_probe,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_synthflow_probe|interleave_f00_k4_onehot_group|abc_g_aig_d15_official_evaluate|exact_truth_preserving_source|full_word,,,Yosys abc gate set aig delay target 15
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_synthflow_probe,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_synthflow_probe|interleave_f00_k4_onehot_group|abc_g_aig_d16_official_evaluate|exact_truth_preserving_source|full_word,,,Yosys abc gate set aig delay target 16
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_synthflow_probe,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_synthflow_probe|interleave_f00_k4_onehot_group|abc_g_aig_d17_official_evaluate|exact_truth_preserving_source|full_word,,,Yosys abc gate set aig delay target 17
ex285,unknown,unknown-routing-r25,,,multi_pair_symmetry_cofactor_synthflow_probe,ex285|hamming_weight_preserving_lossy_routing_normalizer|multi_pair_symmetry_cofactor_synthflow_probe|interleave_f00_k4_onehot_group|abc_g_gates_official_evaluate|exact_truth_preserving_source|full_word,,,Yosys abc gate set gates
ex297,unknown,unknown-symbol-r25,cyclic 2-bit-symbol movement delta coordinate,per-cell delta-coordinate BDD pools,independent BDD pool per 2-bit output cell plus xor reconstruction,,evaluated,,ex297|cyclic_2-bit-symbol_movement_delta_coordinate|per-cell_delta-coordinate_BDD_pools|independent_BDD_pool_per_2-bit_output_cell_plus_xor_reconstruction|yosys_abc_g_aig|official_evaluate_py|cell_pairs
ex299,unknown,unknown-symbol-r25,cyclic 2-bit-symbol movement delta coordinate,per-cell delta-coordinate BDD pools,independent BDD pool per 2-bit output cell plus xor reconstruction,,evaluated,,ex299|cyclic_2-bit-symbol_movement_delta_coordinate|per-cell_delta-coordinate_BDD_pools|independent_BDD_pool_per_2-bit_output_cell_plus_xor_reconstruction|yosys_abc_g_aig|official_evaluate_py|cell_pairs
