case,domain,agent_id,candidate_id,hypothesis,representation,shared_structure,method_signature,verilog_path,aig_path,equivalent,simulation_pass,area,delay,adp,evaluate_log,notes
ex244,float_fp8,fp8-semantic-r27,ex244_r27_sem_threshold_maxeff_synth_preset_aig_D16,E4M3FN hypot with max exponent threshold packing,threshold-packed small-gap delta carrying max exponent context,"shared max/min decode, max_eff context, sig/gap threshold rows, saturating add",ex244|E4M3FN packed hypot|max-eff threshold-packed delta predicates|shared max_eff gap sig threshold predicates and saturation context|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_hypot_abs_high_low|maxeff_threshold_delta|semantic_low_delay_attribute_family|synth_preset_aig_D16,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/verilog/ex244_r27_sem_threshold_maxeff_synth_preset_aig_D16.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/aigs/ex244_r27_sem_threshold_maxeff_synth_preset_aig_D16.aig,1,,351,40,14040,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_sem_threshold_maxeff_synth_preset_aig_D16.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig_D16; runtime_sec=1.085; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_sem_threshold_maxeff_synth_preset_aig_D16.yosys.log
ex244,float_fp8,fp8-semantic-r27,ex244_r27_sem_threshold_maxeff_synth_preset_aig_D20,E4M3FN hypot with max exponent threshold packing,threshold-packed small-gap delta carrying max exponent context,"shared max/min decode, max_eff context, sig/gap threshold rows, saturating add",ex244|E4M3FN packed hypot|max-eff threshold-packed delta predicates|shared max_eff gap sig threshold predicates and saturation context|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_hypot_abs_high_low|maxeff_threshold_delta|semantic_low_delay_attribute_family|synth_preset_aig_D20,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/verilog/ex244_r27_sem_threshold_maxeff_synth_preset_aig_D20.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/aigs/ex244_r27_sem_threshold_maxeff_synth_preset_aig_D20.aig,1,,351,40,14040,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_sem_threshold_maxeff_synth_preset_aig_D20.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig_D20; runtime_sec=1.183; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_sem_threshold_maxeff_synth_preset_aig_D20.yosys.log
ex244,float_fp8,fp8-semantic-r27,ex244_r27_sem_threshold_maxeff_abc_g_aig_D20,E4M3FN hypot with max exponent threshold packing,threshold-packed small-gap delta carrying max exponent context,"shared max/min decode, max_eff context, sig/gap threshold rows, saturating add",ex244|E4M3FN packed hypot|max-eff threshold-packed delta predicates|shared max_eff gap sig threshold predicates and saturation context|round27_delay_target_yosys_official_evaluate|exact_e4m3fn_hypot_abs_high_low|maxeff_threshold_delta|semantic_low_delay_attribute_family|abc_g_aig_D20,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/verilog/ex244_r27_sem_threshold_maxeff_abc_g_aig_D20.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/aigs/ex244_r27_sem_threshold_maxeff_abc_g_aig_D20.aig,1,,362,42,15204,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_sem_threshold_maxeff_abc_g_aig_D20.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig_D20; runtime_sec=0.933; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_sem_threshold_maxeff_abc_g_aig_D20.yosys.log
ex245,float_fp8,fp8-semantic-r27,ex245_r27_sem_gap4_norm_synth_preset_aig_D16,E5M2FN add with formulaic gap-limited normalizer,formulaic gap4 normalizer instead of direct active table replay,"shared sign/max/min/gap/sig decode, gap bypass, compact same/diff normalizer",ex245|E5M2FN packed add|gap-limited arithmetic normalizer|shared sorted magnitude decode gap same diff and compact normalizer predicates|round27_delay_target_yosys_official_evaluate|exact_e5m2fn_add_high_plus_low|gap_limited_add_output|semantic_low_delay_attribute_family|synth_preset_aig_D16,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/verilog/ex245_r27_sem_gap4_norm_synth_preset_aig_D16.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/aigs/ex245_r27_sem_gap4_norm_synth_preset_aig_D16.aig,1,,673,72,48456,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/logs/ex245_r27_sem_gap4_norm_synth_preset_aig_D16.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig_D16; runtime_sec=1.522; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/logs/ex245_r27_sem_gap4_norm_synth_preset_aig_D16.yosys.log
ex245,float_fp8,fp8-semantic-r27,ex245_r27_sem_gap4_norm_synth_preset_aig_D20,E5M2FN add with formulaic gap-limited normalizer,formulaic gap4 normalizer instead of direct active table replay,"shared sign/max/min/gap/sig decode, gap bypass, compact same/diff normalizer",ex245|E5M2FN packed add|gap-limited arithmetic normalizer|shared sorted magnitude decode gap same diff and compact normalizer predicates|round27_delay_target_yosys_official_evaluate|exact_e5m2fn_add_high_plus_low|gap_limited_add_output|semantic_low_delay_attribute_family|synth_preset_aig_D20,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/verilog/ex245_r27_sem_gap4_norm_synth_preset_aig_D20.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/aigs/ex245_r27_sem_gap4_norm_synth_preset_aig_D20.aig,1,,673,72,48456,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/logs/ex245_r27_sem_gap4_norm_synth_preset_aig_D20.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig_D20; runtime_sec=1.514; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/logs/ex245_r27_sem_gap4_norm_synth_preset_aig_D20.yosys.log
ex245,float_fp8,fp8-semantic-r27,ex245_r27_sem_gap4_norm_abc_g_aig_D20,E5M2FN add with formulaic gap-limited normalizer,formulaic gap4 normalizer instead of direct active table replay,"shared sign/max/min/gap/sig decode, gap bypass, compact same/diff normalizer",ex245|E5M2FN packed add|gap-limited arithmetic normalizer|shared sorted magnitude decode gap same diff and compact normalizer predicates|round27_delay_target_yosys_official_evaluate|exact_e5m2fn_add_high_plus_low|gap_limited_add_output|semantic_low_delay_attribute_family|abc_g_aig_D20,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/verilog/ex245_r27_sem_gap4_norm_abc_g_aig_D20.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/aigs/ex245_r27_sem_gap4_norm_abc_g_aig_D20.aig,1,,602,70,42140,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/logs/ex245_r27_sem_gap4_norm_abc_g_aig_D20.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig_D20; runtime_sec=1.306; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/logs/ex245_r27_sem_gap4_norm_abc_g_aig_D20.yosys.log
ex245,float_fp8,fp8-semantic-r27,ex245_r27_sem_gap_class_synth_preset_aig_D16,E5M2FN add with shared gap class formulas,same/diff gap class formulas with shared field decode,"shared NaN/signed-zero shell, max/min compare, gap and sig class formulas",ex245|E5M2FN packed add|gap class formula with shared same/diff decode|shared sorted fields gap sig class formulas and special shell|round27_delay_target_yosys_official_evaluate|exact_e5m2fn_add_high_plus_low|gap_class_outputs|semantic_low_delay_attribute_family|synth_preset_aig_D16,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/verilog/ex245_r27_sem_gap_class_synth_preset_aig_D16.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/aigs/ex245_r27_sem_gap_class_synth_preset_aig_D16.aig,1,,701,34,23834,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/logs/ex245_r27_sem_gap_class_synth_preset_aig_D16.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig_D16; runtime_sec=2.325; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/logs/ex245_r27_sem_gap_class_synth_preset_aig_D16.yosys.log
ex245,float_fp8,fp8-semantic-r27,ex245_r27_sem_gap_class_synth_preset_aig_D20,E5M2FN add with shared gap class formulas,same/diff gap class formulas with shared field decode,"shared NaN/signed-zero shell, max/min compare, gap and sig class formulas",ex245|E5M2FN packed add|gap class formula with shared same/diff decode|shared sorted fields gap sig class formulas and special shell|round27_delay_target_yosys_official_evaluate|exact_e5m2fn_add_high_plus_low|gap_class_outputs|semantic_low_delay_attribute_family|synth_preset_aig_D20,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/verilog/ex245_r27_sem_gap_class_synth_preset_aig_D20.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/aigs/ex245_r27_sem_gap_class_synth_preset_aig_D20.aig,1,,701,34,23834,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/logs/ex245_r27_sem_gap_class_synth_preset_aig_D20.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig_D20; runtime_sec=2.337; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/logs/ex245_r27_sem_gap_class_synth_preset_aig_D20.yosys.log
ex245,float_fp8,fp8-semantic-r27,ex245_r27_sem_gap_class_abc_g_aig_D20,E5M2FN add with shared gap class formulas,same/diff gap class formulas with shared field decode,"shared NaN/signed-zero shell, max/min compare, gap and sig class formulas",ex245|E5M2FN packed add|gap class formula with shared same/diff decode|shared sorted fields gap sig class formulas and special shell|round27_delay_target_yosys_official_evaluate|exact_e5m2fn_add_high_plus_low|gap_class_outputs|semantic_low_delay_attribute_family|abc_g_aig_D20,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/verilog/ex245_r27_sem_gap_class_abc_g_aig_D20.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/aigs/ex245_r27_sem_gap_class_abc_g_aig_D20.aig,1,,719,34,24446,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/logs/ex245_r27_sem_gap_class_abc_g_aig_D20.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig_D20; runtime_sec=1.979; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/logs/ex245_r27_sem_gap_class_abc_g_aig_D20.yosys.log
ex240,float_fp8,fp8-semantic-r27,ex240_r27_currentbest_delaytarget_synth_preset_aig_D16,verified FP8 semantic source with delay-targeted frontend synthesis,current best semantic Verilog with ABC delay target pressure,keeps existing shared FP8 field decode and semantic predicates; changes frontend synth objective only,"ex240|current_frontend_semantic|delay_targeted_yosys_abc|reuse verified source with ABC delay target, not generic replay|shard_official_evaluate|exact_fp8_semantics|same_output_grouping_delay_target|synth_preset_aig_D16",student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/verilog/ex240_r27_currentbest_delaytarget_synth_preset_aig_D16.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/aigs/ex240_r27_currentbest_delaytarget_synth_preset_aig_D16.aig,1,,590,51,30090,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_currentbest_delaytarget_synth_preset_aig_D16.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig_D16; runtime_sec=1.480; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_currentbest_delaytarget_synth_preset_aig_D16.yosys.log
ex240,float_fp8,fp8-semantic-r27,ex240_r27_currentbest_delaytarget_synth_preset_aig_D20,verified FP8 semantic source with delay-targeted frontend synthesis,current best semantic Verilog with ABC delay target pressure,keeps existing shared FP8 field decode and semantic predicates; changes frontend synth objective only,"ex240|current_frontend_semantic|delay_targeted_yosys_abc|reuse verified source with ABC delay target, not generic replay|shard_official_evaluate|exact_fp8_semantics|same_output_grouping_delay_target|synth_preset_aig_D20",student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/verilog/ex240_r27_currentbest_delaytarget_synth_preset_aig_D20.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/aigs/ex240_r27_currentbest_delaytarget_synth_preset_aig_D20.aig,1,,590,51,30090,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_currentbest_delaytarget_synth_preset_aig_D20.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig_D20; runtime_sec=1.466; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_currentbest_delaytarget_synth_preset_aig_D20.yosys.log
ex240,float_fp8,fp8-semantic-r27,ex240_r27_currentbest_delaytarget_abc_g_aig_D20,verified FP8 semantic source with delay-targeted frontend synthesis,current best semantic Verilog with ABC delay target pressure,keeps existing shared FP8 field decode and semantic predicates; changes frontend synth objective only,"ex240|current_frontend_semantic|delay_targeted_yosys_abc|reuse verified source with ABC delay target, not generic replay|shard_official_evaluate|exact_fp8_semantics|same_output_grouping_delay_target|abc_g_aig_D20",student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/verilog/ex240_r27_currentbest_delaytarget_abc_g_aig_D20.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/aigs/ex240_r27_currentbest_delaytarget_abc_g_aig_D20.aig,1,,626,50,31300,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_currentbest_delaytarget_abc_g_aig_D20.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig_D20; runtime_sec=1.355; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex240/logs/ex240_r27_currentbest_delaytarget_abc_g_aig_D20.yosys.log
ex241,float_fp8,fp8-semantic-r27,ex241_r27_currentbest_delaytarget_synth_preset_aig_D16,verified FP8 semantic source with delay-targeted frontend synthesis,current best semantic Verilog with ABC delay target pressure,keeps existing shared FP8 field decode and semantic predicates; changes frontend synth objective only,"ex241|current_frontend_semantic|delay_targeted_yosys_abc|reuse verified source with ABC delay target, not generic replay|shard_official_evaluate|exact_fp8_semantics|same_output_grouping_delay_target|synth_preset_aig_D16",student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/verilog/ex241_r27_currentbest_delaytarget_synth_preset_aig_D16.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/aigs/ex241_r27_currentbest_delaytarget_synth_preset_aig_D16.aig,1,,536,29,15544,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_currentbest_delaytarget_synth_preset_aig_D16.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig_D16; runtime_sec=1.646; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_currentbest_delaytarget_synth_preset_aig_D16.yosys.log
ex241,float_fp8,fp8-semantic-r27,ex241_r27_currentbest_delaytarget_synth_preset_aig_D20,verified FP8 semantic source with delay-targeted frontend synthesis,current best semantic Verilog with ABC delay target pressure,keeps existing shared FP8 field decode and semantic predicates; changes frontend synth objective only,"ex241|current_frontend_semantic|delay_targeted_yosys_abc|reuse verified source with ABC delay target, not generic replay|shard_official_evaluate|exact_fp8_semantics|same_output_grouping_delay_target|synth_preset_aig_D20",student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/verilog/ex241_r27_currentbest_delaytarget_synth_preset_aig_D20.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/aigs/ex241_r27_currentbest_delaytarget_synth_preset_aig_D20.aig,1,,536,29,15544,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_currentbest_delaytarget_synth_preset_aig_D20.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig_D20; runtime_sec=1.634; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_currentbest_delaytarget_synth_preset_aig_D20.yosys.log
ex241,float_fp8,fp8-semantic-r27,ex241_r27_currentbest_delaytarget_abc_g_aig_D20,verified FP8 semantic source with delay-targeted frontend synthesis,current best semantic Verilog with ABC delay target pressure,keeps existing shared FP8 field decode and semantic predicates; changes frontend synth objective only,"ex241|current_frontend_semantic|delay_targeted_yosys_abc|reuse verified source with ABC delay target, not generic replay|shard_official_evaluate|exact_fp8_semantics|same_output_grouping_delay_target|abc_g_aig_D20",student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/verilog/ex241_r27_currentbest_delaytarget_abc_g_aig_D20.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/aigs/ex241_r27_currentbest_delaytarget_abc_g_aig_D20.aig,1,,548,29,15892,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_currentbest_delaytarget_abc_g_aig_D20.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig_D20; runtime_sec=1.602; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex241/logs/ex241_r27_currentbest_delaytarget_abc_g_aig_D20.yosys.log
ex242,float_fp8,fp8-semantic-r27,ex242_r27_currentbest_delaytarget_synth_preset_aig_D16,verified FP8 semantic source with delay-targeted frontend synthesis,current best semantic Verilog with ABC delay target pressure,keeps existing shared FP8 field decode and semantic predicates; changes frontend synth objective only,"ex242|current_frontend_semantic|delay_targeted_yosys_abc|reuse verified source with ABC delay target, not generic replay|shard_official_evaluate|exact_fp8_semantics|same_output_grouping_delay_target|synth_preset_aig_D16",student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/verilog/ex242_r27_currentbest_delaytarget_synth_preset_aig_D16.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/aigs/ex242_r27_currentbest_delaytarget_synth_preset_aig_D16.aig,1,,1266,20,25320,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_currentbest_delaytarget_synth_preset_aig_D16.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig_D16; runtime_sec=1.910; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_currentbest_delaytarget_synth_preset_aig_D16.yosys.log
ex242,float_fp8,fp8-semantic-r27,ex242_r27_currentbest_delaytarget_synth_preset_aig_D20,verified FP8 semantic source with delay-targeted frontend synthesis,current best semantic Verilog with ABC delay target pressure,keeps existing shared FP8 field decode and semantic predicates; changes frontend synth objective only,"ex242|current_frontend_semantic|delay_targeted_yosys_abc|reuse verified source with ABC delay target, not generic replay|shard_official_evaluate|exact_fp8_semantics|same_output_grouping_delay_target|synth_preset_aig_D20",student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/verilog/ex242_r27_currentbest_delaytarget_synth_preset_aig_D20.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/aigs/ex242_r27_currentbest_delaytarget_synth_preset_aig_D20.aig,1,,1266,20,25320,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_currentbest_delaytarget_synth_preset_aig_D20.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig_D20; runtime_sec=1.910; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_currentbest_delaytarget_synth_preset_aig_D20.yosys.log
ex242,float_fp8,fp8-semantic-r27,ex242_r27_currentbest_delaytarget_abc_g_aig_D20,verified FP8 semantic source with delay-targeted frontend synthesis,current best semantic Verilog with ABC delay target pressure,keeps existing shared FP8 field decode and semantic predicates; changes frontend synth objective only,"ex242|current_frontend_semantic|delay_targeted_yosys_abc|reuse verified source with ABC delay target, not generic replay|shard_official_evaluate|exact_fp8_semantics|same_output_grouping_delay_target|abc_g_aig_D20",student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/verilog/ex242_r27_currentbest_delaytarget_abc_g_aig_D20.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/aigs/ex242_r27_currentbest_delaytarget_abc_g_aig_D20.aig,1,,1304,20,26080,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_currentbest_delaytarget_abc_g_aig_D20.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig_D20; runtime_sec=1.636; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex242/logs/ex242_r27_currentbest_delaytarget_abc_g_aig_D20.yosys.log
ex244,float_fp8,fp8-semantic-r27,ex244_r27_currentbest_delaytarget_synth_preset_aig_D16,verified FP8 semantic source with delay-targeted frontend synthesis,current best semantic Verilog with ABC delay target pressure,keeps existing shared FP8 field decode and semantic predicates; changes frontend synth objective only,"ex244|current_frontend_semantic|delay_targeted_yosys_abc|reuse verified source with ABC delay target, not generic replay|shard_official_evaluate|exact_fp8_semantics|same_output_grouping_delay_target|synth_preset_aig_D16",student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/verilog/ex244_r27_currentbest_delaytarget_synth_preset_aig_D16.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/aigs/ex244_r27_currentbest_delaytarget_synth_preset_aig_D16.aig,1,,301,34,10234,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_currentbest_delaytarget_synth_preset_aig_D16.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig_D16; runtime_sec=0.870; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_currentbest_delaytarget_synth_preset_aig_D16.yosys.log
ex244,float_fp8,fp8-semantic-r27,ex244_r27_currentbest_delaytarget_synth_preset_aig_D20,verified FP8 semantic source with delay-targeted frontend synthesis,current best semantic Verilog with ABC delay target pressure,keeps existing shared FP8 field decode and semantic predicates; changes frontend synth objective only,"ex244|current_frontend_semantic|delay_targeted_yosys_abc|reuse verified source with ABC delay target, not generic replay|shard_official_evaluate|exact_fp8_semantics|same_output_grouping_delay_target|synth_preset_aig_D20",student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/verilog/ex244_r27_currentbest_delaytarget_synth_preset_aig_D20.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/aigs/ex244_r27_currentbest_delaytarget_synth_preset_aig_D20.aig,1,,301,34,10234,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_currentbest_delaytarget_synth_preset_aig_D20.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig_D20; runtime_sec=0.855; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_currentbest_delaytarget_synth_preset_aig_D20.yosys.log
ex244,float_fp8,fp8-semantic-r27,ex244_r27_currentbest_delaytarget_abc_g_aig_D20,verified FP8 semantic source with delay-targeted frontend synthesis,current best semantic Verilog with ABC delay target pressure,keeps existing shared FP8 field decode and semantic predicates; changes frontend synth objective only,"ex244|current_frontend_semantic|delay_targeted_yosys_abc|reuse verified source with ABC delay target, not generic replay|shard_official_evaluate|exact_fp8_semantics|same_output_grouping_delay_target|abc_g_aig_D20",student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/verilog/ex244_r27_currentbest_delaytarget_abc_g_aig_D20.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/aigs/ex244_r27_currentbest_delaytarget_abc_g_aig_D20.aig,1,,312,37,11544,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_currentbest_delaytarget_abc_g_aig_D20.evaluate.py.log,official evaluate.py status OK; synth=abc_g_aig_D20; runtime_sec=0.738; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex244/logs/ex244_r27_currentbest_delaytarget_abc_g_aig_D20.yosys.log
ex245,float_fp8,fp8-semantic-r27,ex245_r27_currentbest_delaytarget_synth_preset_aig_D16,verified FP8 semantic source with delay-targeted frontend synthesis,current best semantic Verilog with ABC delay target pressure,keeps existing shared FP8 field decode and semantic predicates; changes frontend synth objective only,"ex245|current_frontend_semantic|delay_targeted_yosys_abc|reuse verified source with ABC delay target, not generic replay|shard_official_evaluate|exact_fp8_semantics|same_output_grouping_delay_target|synth_preset_aig_D16",student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/verilog/ex245_r27_currentbest_delaytarget_synth_preset_aig_D16.v,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/aigs/ex245_r27_currentbest_delaytarget_synth_preset_aig_D16.aig,1,,701,34,23834,student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/logs/ex245_r27_currentbest_delaytarget_synth_preset_aig_D16.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig_D16; runtime_sec=2.234; yosys_log=student/work/ex240_ex299_frontend_gt2_round27_20260613_0619/fp8-semantic-r27/ex245/logs/ex245_r27_currentbest_delaytarget_synth_preset_aig_D16.yosys.log
