case,agent_id,hypothesis,method_signature,status,reason,evidence_path,next_action,domain,candidate_id,representation,shared_structure,verilog_path,aig_path,log_path,notes,shard_csv,variant,outcome,failure_reason,reuse_policy
ex299,sub-unklarge-rule-r65,transition_delta_rule,ex299|cyclic_2bit_symbol_non_table_rule|transition_delta_rule|radius2_stride1_cell|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex299/diagnostics/ex299_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,radius2_stride1_cell,blocked_table_sized_or_conflicted,residual_rows=228896; estimated_entries=261664; exact_bits=,repeat_only_with_new_structure
ex299,sub-unklarge-rule-r65,transition_delta_rule,ex299|cyclic_2bit_symbol_non_table_rule|transition_delta_rule|radius1_stride2_cell|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex299/diagnostics/ex299_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,radius1_stride2_cell,blocked_table_sized_or_conflicted,residual_rows=239840; estimated_entries=248032; exact_bits=,repeat_only_with_new_structure
ex299,sub-unklarge-rule-r65,transition_delta_rule,ex299|cyclic_2bit_symbol_non_table_rule|transition_delta_rule|radius2_stride2_cell|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex299/diagnostics/ex299_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,radius2_stride2_cell,blocked_table_sized_or_conflicted,residual_rows=173728; estimated_entries=304800; exact_bits=,repeat_only_with_new_structure
ex299,sub-unklarge-rule-r65,ring_conservation_descriptor,ex299|cyclic_2bit_symbol_non_table_rule|ring_conservation_descriptor|hist_local|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex299/diagnostics/ex299_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,hist_local,blocked_table_sized_or_conflicted,residual_rows=263288; estimated_entries=291960; exact_bits=,repeat_only_with_new_structure
ex299,sub-unklarge-rule-r65,ring_conservation_descriptor,ex299|cyclic_2bit_symbol_non_table_rule|ring_conservation_descriptor|adjhist_local|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex299/diagnostics/ex299_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,adjhist_local,blocked_table_sized_or_conflicted,residual_rows=145336; estimated_entries=397880; exact_bits=,repeat_only_with_new_structure
ex299,sub-unklarge-rule-r65,ring_conservation_descriptor,ex299|cyclic_2bit_symbol_non_table_rule|ring_conservation_descriptor|adjdist2hist_local|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex299/diagnostics/ex299_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,adjdist2hist_local,blocked_table_sized_or_conflicted,residual_rows=30640; estimated_entries=500016; exact_bits=,repeat_only_with_new_structure
ex299,sub-unklarge-rule-r65,ring_conservation_descriptor,ex299|cyclic_2bit_symbol_non_table_rule|ring_conservation_descriptor|conservation_delta_local|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex299/diagnostics/ex299_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,conservation_delta_local,blocked_table_sized_or_conflicted,residual_rows=194096; estimated_entries=380464; exact_bits=,repeat_only_with_new_structure
ex299,sub-unklarge-rule-r65,cyclic_prefix_state,ex299|cyclic_2bit_symbol_non_table_rule|cyclic_prefix_state|xor_prefix_cell|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex299/diagnostics/ex299_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,xor_prefix_cell,blocked_table_sized_or_conflicted,residual_rows=0; estimated_entries=524288; exact_bits=,repeat_only_with_new_structure
ex299,sub-unklarge-rule-r65,cyclic_prefix_state,ex299|cyclic_2bit_symbol_non_table_rule|cyclic_prefix_state|sum_prefix_cell|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex299/diagnostics/ex299_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,sum_prefix_cell,blocked_table_sized_or_conflicted,residual_rows=0; estimated_entries=524288; exact_bits=,repeat_only_with_new_structure
ex299,sub-unklarge-rule-r65,cyclic_prefix_state,ex299|cyclic_2bit_symbol_non_table_rule|cyclic_prefix_state|mixed_prefix_cell|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex299/diagnostics/ex299_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,mixed_prefix_cell,blocked_table_sized_or_conflicted,residual_rows=141560; estimated_entries=272632; exact_bits=,repeat_only_with_new_structure
ex299,sub-unklarge-rule-r65,sparse_exception_free_formula,ex299|cyclic_2bit_symbol_non_table_rule|sparse_exception_free_formula|quadratic_local_ring_predicates|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex299/diagnostics/ex299_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,quadratic_local_ring_predicates,blocked_no_exception_free_formula,residual_rows=16; estimated_entries=0; exact_bits=,repeat_only_with_new_structure
ex299,sub-unklarge-rule-r65,sparse_exception_free_formula,ex299|cyclic_2bit_symbol_non_table_rule|sparse_exception_free_formula|quadratic_local_ring_predicates_capped|no_synth|abc_xf_truth_diagnostic|cell_outputs,,,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round65_20260613_1029/sub-unklarge-rule-r65/ex299/diagnostics/ex299_r65_rule_screens.csv,derive residual-free recurrence or lower-key descriptor before RTL,,,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round65_20260613_1029/agent_shards/sub-unklarge-rule-r65/failed_hypotheses.csv,quadratic_local_ring_predicates_capped,blocked_no_exception_free_formula,residual_rows=16; estimated_entries=1177; exact_bits=,repeat_only_with_new_structure
