case,domain,agent_id,method_signature,shared_structure,sharing_scope,estimated_benefit,evidence_path,notes
ex200,bf16,bf16-agent,ex200|bf16_exp_unary_semantic_shell|current_frontend_seed_copy|shared special-case decode plus direct mantissa LUT|yosys_abc_g_aig|DAZ+exp+BF16_RNE+FTZ|full word output grouped by sign_exp/mant,,full word output grouped by sign_exp/mant,,,
ex276,integer,integer-agent,ex276|cofactored_local_BDD_can_reduce_mid-bit_classifier_delay|4-bit_high-prefix_cofactor_reverse_BDD|local_BDD_sharing_inside_high-prefix_buckets|synth_preset_d10|unsigned_floor_isqrt|whole_sqrt_word,local BDD sharing inside high-prefix buckets,,cofactored local BDD can reduce mid-bit classifier delay,,cofactored local BDD can reduce mid-bit classifier delay
ex277,integer,integer-agent,ex277|larger_prefix_range_word_tree_may_beat_cofactor_BDD_on_ADP|prefix5_shared_threshold/ge_tree_LSB-first|shared_range_predicates_and_whole-word_mux|abc_g_aig|unsigned_floor_isqrt|whole_sqrt_word,shared range predicates and whole-word mux,,larger prefix range word tree may beat cofactor BDD on ADP,,larger prefix range word tree may beat cofactor BDD on ADP
ex277,integer,integer-agent,ex277|larger_prefix_range_word_tree_may_beat_cofactor_BDD_on_ADP|prefix5_shared_threshold/ge_tree_LSB-first|shared_range_predicates_and_whole-word_mux|synth_preset_d10|unsigned_floor_isqrt|whole_sqrt_word,shared range predicates and whole-word mux,,larger prefix range word tree may beat cofactor BDD on ADP,,larger prefix range word tree may beat cofactor BDD on ADP
ex277,integer,integer-agent,ex277|larger_prefix_range_word_tree_may_beat_cofactor_BDD_on_ADP|prefix5_shared_threshold/ge_tree_LSB-first|shared_range_predicates_and_whole-word_mux|synth_preset_d12|unsigned_floor_isqrt|whole_sqrt_word,shared range predicates and whole-word mux,,larger prefix range word tree may beat cofactor BDD on ADP,,larger prefix range word tree may beat cofactor BDD on ADP
ex277,integer,integer-agent,ex277|deeper_cofactor_split_may_reduce_local_BDD_delay_enough_for_ex277|5-bit_high-prefix_cofactor_reverse_BDD|local_BDD_sharing_inside_high-prefix_buckets|abc_g_aig|unsigned_floor_isqrt|whole_sqrt_word,local BDD sharing inside high-prefix buckets,,deeper cofactor split may reduce local BDD delay enough for ex277,,deeper cofactor split may reduce local BDD delay enough for ex277
ex277,integer,integer-agent,ex277|deeper_cofactor_split_may_reduce_local_BDD_delay_enough_for_ex277|5-bit_high-prefix_cofactor_reverse_BDD|local_BDD_sharing_inside_high-prefix_buckets|synth_preset_d10|unsigned_floor_isqrt|whole_sqrt_word,local BDD sharing inside high-prefix buckets,,deeper cofactor split may reduce local BDD delay enough for ex277,,deeper cofactor split may reduce local BDD delay enough for ex277
ex277,integer,integer-agent,ex277|deeper_cofactor_split_may_reduce_local_BDD_delay_enough_for_ex277|5-bit_high-prefix_cofactor_reverse_BDD|local_BDD_sharing_inside_high-prefix_buckets|synth_preset_d12|unsigned_floor_isqrt|whole_sqrt_word,local BDD sharing inside high-prefix buckets,,deeper cofactor split may reduce local BDD delay enough for ex277,,deeper cofactor split may reduce local BDD delay enough for ex277
ex256,integer,integer-agent,ex256|current_best_frontend_source_may_need_a_fixed_post-synthesis_rewrite|CSA_AND-row_CLA_replay_from_current_frontend_best|existing_shared_partial_products_and_CLA_final_carry|post_resyn2|unsigned_low5_high5_multiply|full_product_word,existing shared partial products and CLA final carry,,current best frontend source may need a fixed post-synthesis rewrite,,current best frontend source may need a fixed post-synthesis rewrite
ex256,integer,integer-agent,ex256|current_best_frontend_source_may_need_a_fixed_post-synthesis_rewrite|CSA_AND-row_CLA_replay_from_current_frontend_best|existing_shared_partial_products_and_CLA_final_carry|post_dch|unsigned_low5_high5_multiply|full_product_word,existing shared partial products and CLA final carry,,current best frontend source may need a fixed post-synthesis rewrite,,current best frontend source may need a fixed post-synthesis rewrite
ex260,integer,integer-agent,ex260|current_best_frontend_source_may_need_a_fixed_post-synthesis_rewrite|Baugh-Wooley_reverse_hCLA4_replay_from_current_frontend_best|existing_shared_signed_partial_products_and_hCLA_final_carry|post_resyn2|signed_low4_high4_multiply|full_product_word,existing shared signed partial products and hCLA final carry,,current best frontend source may need a fixed post-synthesis rewrite,,current best frontend source may need a fixed post-synthesis rewrite
ex260,integer,integer-agent,ex260|current_best_frontend_source_may_need_a_fixed_post-synthesis_rewrite|Baugh-Wooley_reverse_hCLA4_replay_from_current_frontend_best|existing_shared_signed_partial_products_and_hCLA_final_carry|post_dch|signed_low4_high4_multiply|full_product_word,existing shared signed partial products and hCLA final carry,,current best frontend source may need a fixed post-synthesis rewrite,,current best frontend source may need a fixed post-synthesis rewrite
ex261,integer,integer-agent,ex261|current_best_frontend_source_may_need_a_fixed_post-synthesis_rewrite|Baugh-Wooley_hCLA4_replay_from_current_frontend_best|existing_shared_signed_partial_products_and_hCLA_final_carry|post_resyn2|signed_low5_high5_multiply|full_product_word,existing shared signed partial products and hCLA final carry,,current best frontend source may need a fixed post-synthesis rewrite,,current best frontend source may need a fixed post-synthesis rewrite
ex261,integer,integer-agent,ex261|current_best_frontend_source_may_need_a_fixed_post-synthesis_rewrite|Baugh-Wooley_hCLA4_replay_from_current_frontend_best|existing_shared_signed_partial_products_and_hCLA_final_carry|post_dch|signed_low5_high5_multiply|full_product_word,existing shared signed partial products and hCLA final carry,,current best frontend source may need a fixed post-synthesis rewrite,,current best frontend source may need a fixed post-synthesis rewrite
ex266,integer,integer-agent,ex266|current_best_frontend_source_may_need_a_fixed_post-synthesis_rewrite|cofactor_bit-BDD_word-mux_replay_from_current_frontend_best|existing_shared_quotient-word_mux|post_resyn2|unsigned_low5_high5_divide_dbz=max|whole_quotient_word,existing shared quotient-word mux,,current best frontend source may need a fixed post-synthesis rewrite,,current best frontend source may need a fixed post-synthesis rewrite
ex266,integer,integer-agent,ex266|current_best_frontend_source_may_need_a_fixed_post-synthesis_rewrite|cofactor_bit-BDD_word-mux_replay_from_current_frontend_best|existing_shared_quotient-word_mux|post_dch|unsigned_low5_high5_divide_dbz=max|whole_quotient_word,existing shared quotient-word mux,,current best frontend source may need a fixed post-synthesis rewrite,,current best frontend source may need a fixed post-synthesis rewrite
ex270,integer,integer-agent,ex270|current_best_frontend_source_may_need_a_fixed_post-synthesis_rewrite|triangular_square_Wallace_csel5_replay_from_current_frontend_best|existing_shared_cross_terms_and_square_compressor_rows|post_resyn2|unsigned_square_x*x|full_square_word,existing shared cross terms and square compressor rows,,current best frontend source may need a fixed post-synthesis rewrite,,current best frontend source may need a fixed post-synthesis rewrite
ex270,integer,integer-agent,ex270|current_best_frontend_source_may_need_a_fixed_post-synthesis_rewrite|triangular_square_Wallace_csel5_replay_from_current_frontend_best|existing_shared_cross_terms_and_square_compressor_rows|post_dch|unsigned_square_x*x|full_square_word,existing shared cross terms and square compressor rows,,current best frontend source may need a fixed post-synthesis rewrite,,current best frontend source may need a fixed post-synthesis rewrite
ex276,integer,integer-agent,ex276|current_best_frontend_source_may_need_a_fixed_post-synthesis_rewrite|prefix4_shared-ge_bitwise_replay_from_current_frontend_best|existing_shared_range_predicates_across_output_bits|post_resyn2|unsigned_floor_isqrt|whole_sqrt_word,existing shared range predicates across output bits,,current best frontend source may need a fixed post-synthesis rewrite,,current best frontend source may need a fixed post-synthesis rewrite
ex276,integer,integer-agent,ex276|current_best_frontend_source_may_need_a_fixed_post-synthesis_rewrite|prefix4_shared-ge_bitwise_replay_from_current_frontend_best|existing_shared_range_predicates_across_output_bits|post_dch|unsigned_floor_isqrt|whole_sqrt_word,existing shared range predicates across output bits,,current best frontend source may need a fixed post-synthesis rewrite,,current best frontend source may need a fixed post-synthesis rewrite
ex277,integer,integer-agent,ex277|current_best_frontend_source_may_need_a_fixed_post-synthesis_rewrite|cofactor-4_reverse_BDD_replay_from_current_frontend_best|existing_local_BDDs_and_shared_word_mux|post_resyn2|unsigned_floor_isqrt|whole_sqrt_word,existing local BDDs and shared word mux,,current best frontend source may need a fixed post-synthesis rewrite,,current best frontend source may need a fixed post-synthesis rewrite
ex277,integer,integer-agent,ex277|current_best_frontend_source_may_need_a_fixed_post-synthesis_rewrite|cofactor-4_reverse_BDD_replay_from_current_frontend_best|existing_local_BDDs_and_shared_word_mux|post_dch|unsigned_floor_isqrt|whole_sqrt_word,existing local BDDs and shared word mux,,current best frontend source may need a fixed post-synthesis rewrite,,current best frontend source may need a fixed post-synthesis rewrite
ex285,unknown,unknown-a-agent,ex285|hamming_weight_preserving_lossy_routing_normalizer|onehot_bucket_count_key_case_table|shared_bucket_counts_and_selectors|yosys_default_abc_g_AND_then_aigmap|exact_count_key_classifier|full_word_case_table,shared_bucket_counts_and_selectors,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex285/verilog/ex285_unknown_bucket_count_classifier_case_zero.v,
ex286,unknown,unknown-a-agent,ex286|hamming_weight_preserving_lossy_routing_normalizer|onehot_bucket_count_key_case_table|shared_bucket_counts_and_selectors|yosys_default_abc_g_AND_then_aigmap|exact_count_key_classifier|full_word_case_table,shared_bucket_counts_and_selectors,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex286/verilog/ex286_unknown_bucket_count_classifier_case_zero.v,
ex287,unknown,unknown-a-agent,ex287|hamming_weight_preserving_lossy_routing_normalizer|onehot_bucket_count_key_case_table|shared_bucket_counts_and_selectors|yosys_default_abc_g_AND_then_aigmap|exact_count_key_classifier|full_word_case_table,shared_bucket_counts_and_selectors,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex287/verilog/ex287_unknown_bucket_count_classifier_case_zero.v,
ex288,unknown,unknown-a-agent,ex288|hamming_weight_preserving_lossy_routing_normalizer|onehot_bucket_count_key_case_table|shared_bucket_counts_and_selectors|yosys_default_abc_g_AND_then_aigmap|exact_count_key_classifier|full_word_case_table,shared_bucket_counts_and_selectors,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex288/verilog/ex288_unknown_bucket_count_classifier_case_zero.v,
ex289,unknown,unknown-a-agent,ex289|hamming_weight_preserving_lossy_routing_normalizer|onehot_bucket_count_key_case_table|shared_bucket_counts_and_selectors|yosys_default_abc_g_AND_then_aigmap|exact_count_key_classifier|full_word_case_table,shared_bucket_counts_and_selectors,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex289/verilog/ex289_unknown_bucket_count_classifier_case_zero.v,
ex289,unknown,unknown-a-agent,ex289|hamming_weight_preserving_lossy_routing_normalizer|complement_reverse_split_domain_symcof|global_bdd_node_sharing|yosys_default_abc_g_AND_then_aigmap|exact_complement_reverse_duality|duality_wrapped_grouped_outputs,global_bdd_node_sharing,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex289/verilog/ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_global_xor.v,
ex289,unknown,unknown-a-agent,ex289|hamming_weight_preserving_lossy_routing_normalizer|complement_reverse_split_domain_symcof|global_bdd_node_sharing|yosys_default_abc_g_AND_then_aigmap|exact_complement_reverse_duality|duality_wrapped_grouped_outputs,global_bdd_node_sharing,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex289/verilog/ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_case_global_xor.v,
ex289,unknown,unknown-a-agent,ex289|hamming_weight_preserving_lossy_routing_normalizer|complement_reverse_split_domain_symcof|global_bdd_node_sharing|yosys_default_abc_g_AND_then_aigmap|exact_complement_reverse_duality|duality_wrapped_grouped_outputs,global_bdd_node_sharing,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex289/verilog/ex289_unknown_duality_symcof_split2_f00_bits_0_1_12_13_onehot_global_xor.v,
ex289,unknown,unknown-a-agent,ex289|hamming_weight_preserving_lossy_routing_normalizer|complement_reverse_split_domain_symcof|global_bdd_node_sharing|yosys_default_abc_g_AND_then_aigmap|exact_complement_reverse_duality|duality_wrapped_grouped_outputs,global_bdd_node_sharing,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex289/verilog/ex289_unknown_duality_symcof_split2_f00_bits_0_1_12_13_case_global_xor.v,
ex289,unknown,unknown-a-agent,ex289|hamming_weight_preserving_lossy_routing_normalizer|complement_reverse_split_domain_symcof|global_bdd_node_sharing|yosys_default_abc_g_AND_then_aigmap|exact_complement_reverse_duality|duality_wrapped_grouped_outputs,global_bdd_node_sharing,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex289/verilog/ex289_unknown_duality_symcof_split3_f10_bits_0_1_12_13_onehot_global_xor.v,
ex289,unknown,unknown-a-agent,ex289|hamming_weight_preserving_lossy_routing_normalizer|complement_reverse_split_domain_symcof|global_bdd_node_sharing|yosys_default_abc_g_AND_then_aigmap|exact_complement_reverse_duality|duality_wrapped_grouped_outputs,global_bdd_node_sharing,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex289/verilog/ex289_unknown_duality_symcof_split3_f10_bits_0_1_12_13_case_global_xor.v,
ex289,unknown,unknown-a-agent,ex289|hamming_weight_preserving_lossy_routing_normalizer|complement_reverse_split_domain_symcof|global_bdd_node_sharing|yosys_default_abc_g_AND_then_aigmap|exact_complement_reverse_duality|duality_wrapped_grouped_outputs,global_bdd_node_sharing,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex289/verilog/ex289_unknown_duality_symcof_split3_f00_bits_0_1_12_13_onehot_global_xor.v,
ex289,unknown,unknown-a-agent,ex289|hamming_weight_preserving_lossy_routing_normalizer|complement_reverse_split_domain_symcof|global_bdd_node_sharing|yosys_default_abc_g_AND_then_aigmap|exact_complement_reverse_duality|duality_wrapped_grouped_outputs,global_bdd_node_sharing,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex289/verilog/ex289_unknown_duality_symcof_split3_f00_bits_0_1_12_13_case_global_xor.v,
ex280,unknown,unknown-a-agent,ex280|fixed1_zminus2_filter_variant|full_wrap_low_zero_high_muxcoord_degree2_anf|grouped_coordinate_terms|yosys_default_abc_g_AND_then_aigmap|alternate_boundary_filter_coordinate|grouped_output_quadratic_terms,grouped_coordinate_terms,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex280/verilog/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2.v,
ex280,unknown,unknown-a-agent,ex280|fixed1_zminus2_filter_variant|full_wrap_low_zero_high_muxcoord_degree2_anf|grouped_coordinate_terms|yosys_default_abc_g_AND_then_aigmap|alternate_boundary_filter_coordinate|grouped_output_quadratic_terms,grouped_coordinate_terms,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex280/verilog/ex280_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_direct_deg2.v,
ex281,unknown,unknown-a-agent,ex281|fixed1_zminus2_filter_variant|full_wrap_low_zero_high_muxcoord_degree2_anf|grouped_coordinate_terms|yosys_default_abc_g_AND_then_aigmap|alternate_boundary_filter_coordinate|grouped_output_quadratic_terms,grouped_coordinate_terms,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex281/verilog/ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2.v,
ex281,unknown,unknown-a-agent,ex281|fixed1_zminus2_filter_variant|full_wrap_low_zero_high_muxcoord_degree2_anf|grouped_coordinate_terms|yosys_default_abc_g_AND_then_aigmap|alternate_boundary_filter_coordinate|grouped_output_quadratic_terms,grouped_coordinate_terms,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex281/verilog/ex281_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_direct_deg2.v,
ex282,unknown,unknown-a-agent,ex282|fixed1_zminus2_filter_variant|full_wrap_low_zero_high_muxcoord_degree2_anf|grouped_coordinate_terms|yosys_default_abc_g_AND_then_aigmap|alternate_boundary_filter_coordinate|grouped_output_quadratic_terms,grouped_coordinate_terms,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex282/verilog/ex282_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2.v,
ex282,unknown,unknown-a-agent,ex282|fixed1_zminus2_filter_variant|full_wrap_low_zero_high_muxcoord_degree2_anf|grouped_coordinate_terms|yosys_default_abc_g_AND_then_aigmap|alternate_boundary_filter_coordinate|grouped_output_quadratic_terms,grouped_coordinate_terms,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex282/verilog/ex282_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_direct_deg2.v,
ex283,unknown,unknown-a-agent,ex283|fixed1_zminus2_filter_variant|full_wrap_low_zero_high_muxcoord_degree2_anf|grouped_coordinate_terms|yosys_default_abc_g_AND_then_aigmap|alternate_boundary_filter_coordinate|grouped_output_quadratic_terms,grouped_coordinate_terms,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex283/verilog/ex283_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2.v,
ex283,unknown,unknown-a-agent,ex283|fixed1_zminus2_filter_variant|full_wrap_low_zero_high_muxcoord_degree2_anf|grouped_coordinate_terms|yosys_default_abc_g_AND_then_aigmap|alternate_boundary_filter_coordinate|grouped_output_quadratic_terms,grouped_coordinate_terms,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex283/verilog/ex283_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_direct_deg2.v,
ex284,unknown,unknown-a-agent,ex284|fixed1_zminus2_filter_variant|full_wrap_low_zero_high_muxcoord_degree2_anf|grouped_coordinate_terms|yosys_default_abc_g_AND_then_aigmap|alternate_boundary_filter_coordinate|grouped_output_quadratic_terms,grouped_coordinate_terms,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex284/verilog/ex284_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_deg2.v,
ex284,unknown,unknown-a-agent,ex284|fixed1_zminus2_filter_variant|full_wrap_low_zero_high_muxcoord_degree2_anf|grouped_coordinate_terms|yosys_default_abc_g_AND_then_aigmap|alternate_boundary_filter_coordinate|grouped_output_quadratic_terms,grouped_coordinate_terms,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex284/verilog/ex284_unknown_muxcoord_anf_prefix_parity_reduce_full_wrap_low_zero_high_grouped_direct_deg2.v,
ex280,unknown,unknown-a-agent,ex280|quartic_gf2_anf_monomial_sharing|full_clamp_muxcoord_quadratic_linear_form_products|shared_linear_form_products|yosys_default_abc_g_AND_then_aigmap|exact_full_clamp_mux_coordinate_degree2|multi_output_product_xor,shared_linear_form_products,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_boundary.v,
ex280,unknown,unknown-a-agent,ex280|quartic_gf2_anf_monomial_sharing|full_clamp_muxcoord_quadratic_linear_form_products|shared_linear_form_products|yosys_default_abc_g_AND_then_aigmap|exact_full_clamp_mux_coordinate_degree2|multi_output_product_xor,shared_linear_form_products,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_wide.v,
ex280,unknown,unknown-a-agent,ex280|quartic_gf2_anf_monomial_sharing|full_clamp_muxcoord_quadratic_linear_form_products|shared_linear_form_products|yosys_default_abc_g_AND_then_aigmap|exact_full_clamp_mux_coordinate_degree2|multi_output_product_xor,shared_linear_form_products,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_direct.v,
ex281,unknown,unknown-a-agent,ex281|quartic_gf2_anf_monomial_sharing|full_clamp_muxcoord_quadratic_linear_form_products|shared_linear_form_products|yosys_default_abc_g_AND_then_aigmap|exact_full_clamp_mux_coordinate_degree2|multi_output_product_xor,shared_linear_form_products,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex281/verilog/ex281_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_boundary.v,
ex281,unknown,unknown-a-agent,ex281|quartic_gf2_anf_monomial_sharing|full_clamp_muxcoord_quadratic_linear_form_products|shared_linear_form_products|yosys_default_abc_g_AND_then_aigmap|exact_full_clamp_mux_coordinate_degree2|multi_output_product_xor,shared_linear_form_products,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex281/verilog/ex281_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_wide.v,
ex281,unknown,unknown-a-agent,ex281|quartic_gf2_anf_monomial_sharing|full_clamp_muxcoord_quadratic_linear_form_products|shared_linear_form_products|yosys_default_abc_g_AND_then_aigmap|exact_full_clamp_mux_coordinate_degree2|multi_output_product_xor,shared_linear_form_products,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex281/verilog/ex281_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_direct.v,
ex282,unknown,unknown-a-agent,ex282|quartic_gf2_anf_monomial_sharing|full_clamp_muxcoord_quadratic_linear_form_products|shared_linear_form_products|yosys_default_abc_g_AND_then_aigmap|exact_full_clamp_mux_coordinate_degree2|multi_output_product_xor,shared_linear_form_products,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex282/verilog/ex282_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_boundary.v,
ex282,unknown,unknown-a-agent,ex282|quartic_gf2_anf_monomial_sharing|full_clamp_muxcoord_quadratic_linear_form_products|shared_linear_form_products|yosys_default_abc_g_AND_then_aigmap|exact_full_clamp_mux_coordinate_degree2|multi_output_product_xor,shared_linear_form_products,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex282/verilog/ex282_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_wide.v,
ex282,unknown,unknown-a-agent,ex282|quartic_gf2_anf_monomial_sharing|full_clamp_muxcoord_quadratic_linear_form_products|shared_linear_form_products|yosys_default_abc_g_AND_then_aigmap|exact_full_clamp_mux_coordinate_degree2|multi_output_product_xor,shared_linear_form_products,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex282/verilog/ex282_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_direct.v,
ex283,unknown,unknown-a-agent,ex283|quartic_gf2_anf_monomial_sharing|full_clamp_muxcoord_quadratic_linear_form_products|shared_linear_form_products|yosys_default_abc_g_AND_then_aigmap|exact_full_clamp_mux_coordinate_degree2|multi_output_product_xor,shared_linear_form_products,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex283/verilog/ex283_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_boundary.v,
ex283,unknown,unknown-a-agent,ex283|quartic_gf2_anf_monomial_sharing|full_clamp_muxcoord_quadratic_linear_form_products|shared_linear_form_products|yosys_default_abc_g_AND_then_aigmap|exact_full_clamp_mux_coordinate_degree2|multi_output_product_xor,shared_linear_form_products,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex283/verilog/ex283_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_wide.v,
ex283,unknown,unknown-a-agent,ex283|quartic_gf2_anf_monomial_sharing|full_clamp_muxcoord_quadratic_linear_form_products|shared_linear_form_products|yosys_default_abc_g_AND_then_aigmap|exact_full_clamp_mux_coordinate_degree2|multi_output_product_xor,shared_linear_form_products,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex283/verilog/ex283_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_direct.v,
ex284,unknown,unknown-a-agent,ex284|quartic_gf2_anf_monomial_sharing|full_clamp_muxcoord_quadratic_linear_form_products|shared_linear_form_products|yosys_default_abc_g_AND_then_aigmap|exact_full_clamp_mux_coordinate_degree2|multi_output_product_xor,shared_linear_form_products,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex284/verilog/ex284_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_boundary.v,
ex284,unknown,unknown-a-agent,ex284|quartic_gf2_anf_monomial_sharing|full_clamp_muxcoord_quadratic_linear_form_products|shared_linear_form_products|yosys_default_abc_g_AND_then_aigmap|exact_full_clamp_mux_coordinate_degree2|multi_output_product_xor,shared_linear_form_products,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex284/verilog/ex284_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_wide.v,
ex284,unknown,unknown-a-agent,ex284|quartic_gf2_anf_monomial_sharing|full_clamp_muxcoord_quadratic_linear_form_products|shared_linear_form_products|yosys_default_abc_g_AND_then_aigmap|exact_full_clamp_mux_coordinate_degree2|multi_output_product_xor,shared_linear_form_products,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex284/verilog/ex284_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_direct.v,
ex285,unknown,unknown-a-agent,ex285|hamming_weight_preserving_lossy_routing_normalizer|pair_symmetry_canonical_key_bdd_cofactors|global_bdd_node_sharing|yosys_default_abc_g_AND_then_aigmap|exact_pair_swap_invariant_key|class_onehot_or_case_mux,global_bdd_node_sharing,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex285/verilog/ex285_unknown_symcof_interleave_f10_k4_onehot_global.v,
ex285,unknown,unknown-a-agent,ex285|hamming_weight_preserving_lossy_routing_normalizer|pair_symmetry_canonical_key_bdd_cofactors|global_bdd_node_sharing|yosys_default_abc_g_AND_then_aigmap|exact_pair_swap_invariant_key|class_onehot_or_case_mux,global_bdd_node_sharing,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex285/verilog/ex285_unknown_symcof_interleave_f10_k4_case_global.v,
ex285,unknown,unknown-a-agent,ex285|hamming_weight_preserving_lossy_routing_normalizer|pair_symmetry_canonical_key_bdd_cofactors|global_bdd_node_sharing|yosys_default_abc_g_AND_then_aigmap|exact_pair_swap_invariant_key|class_onehot_or_case_mux,global_bdd_node_sharing,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex285/verilog/ex285_unknown_symcof_interleave_f10_k5_onehot_global.v,
ex285,unknown,unknown-a-agent,ex285|hamming_weight_preserving_lossy_routing_normalizer|pair_symmetry_canonical_key_bdd_cofactors|global_bdd_node_sharing|yosys_default_abc_g_AND_then_aigmap|exact_pair_swap_invariant_key|class_onehot_or_case_mux,global_bdd_node_sharing,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex285/verilog/ex285_unknown_symcof_interleave_f10_k5_case_global.v,
ex285,unknown,unknown-a-agent,ex285|hamming_weight_preserving_lossy_routing_normalizer|pair_symmetry_canonical_key_bdd_cofactors|global_bdd_node_sharing|yosys_default_abc_g_AND_then_aigmap|exact_pair_swap_invariant_key|class_onehot_or_case_mux,global_bdd_node_sharing,,,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422/unknown-a-agent/ex285/verilog/ex285_unknown_symcof_interleave_f00_k4_onehot_global.v,
